,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Treasury Shares Number,40920.0,40920.0,40920.0,40920.0,40920.0,
Ordinary Shares Number,5308679.0,5308679.0,5257413.0,5256413.0,5256413.0,
Share Issued,5349599.0,5349599.0,5298333.0,5297333.0,5297333.0,
Net Debt,,,38000.0,1314000.0,2258000.0,
Total Debt,5605000.0,5773000.0,5942000.0,6116000.0,6292000.0,
Tangible Book Value,35313000.0,34161000.0,33818000.0,32461000.0,33157000.0,
Invested Capital,40884000.0,39889000.0,39705000.0,38502000.0,39351000.0,
Working Capital,18303000.0,17307000.0,16968000.0,15469000.0,17392000.0,
Net Tangible Assets,35313000.0,34161000.0,33818000.0,32461000.0,33157000.0,
Capital Lease Obligations,34000.0,45000.0,55000.0,75000.0,98000.0,
Common Stock Equity,35313000.0,34161000.0,33818000.0,32461000.0,33157000.0,
Total Capitalization,40244000.0,39253000.0,39078000.0,37873000.0,38715000.0,
Total Equity Gross Minority Interest,35313000.0,34161000.0,33818000.0,32461000.0,33157000.0,
Stockholders Equity,35313000.0,34161000.0,33818000.0,32461000.0,33157000.0,
Treasury Stock,102000.0,102000.0,102000.0,102000.0,102000.0,
Retained Earnings,27542000.0,26395000.0,26165000.0,24899000.0,25681000.0,
Additional Paid In Capital,7819000.0,7814000.0,7701000.0,7611000.0,7525000.0,
Capital Stock,54000.0,54000.0,54000.0,53000.0,53000.0,
Common Stock,54000.0,54000.0,54000.0,53000.0,53000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,29540000.0,27187000.0,23836000.0,23256000.0,23342000.0,
Total Non Current Liabilities Net Minority Interest,12153000.0,11169000.0,10911000.0,10250000.0,10154000.0,
Non Current Deferred Liabilities,7222000.0,6075000.0,5638000.0,4814000.0,4562000.0,
Non Current Deferred Revenue,5572000.0,4424000.0,3552000.0,2633000.0,2475000.0,
Non Current Deferred Taxes Liabilities,1650000.0,1651000.0,2086000.0,2181000.0,2087000.0,
Long Term Debt And Capital Lease Obligation,4931000.0,5094000.0,5273000.0,5436000.0,5592000.0,
Long Term Capital Lease Obligation,0.0,2000.0,13000.0,24000.0,34000.0,
Long Term Debt,4931000.0,5092000.0,5260000.0,5412000.0,5558000.0,
Current Liabilities,17387000.0,16018000.0,12925000.0,13006000.0,13188000.0,
Current Deferred Liabilities,6167000.0,5496000.0,4589000.0,4976000.0,4495000.0,
Current Deferred Revenue,6167000.0,5496000.0,4589000.0,4976000.0,4495000.0,
Current Debt And Capital Lease Obligation,674000.0,679000.0,669000.0,680000.0,700000.0,
Current Capital Lease Obligation,34000.0,43000.0,42000.0,51000.0,64000.0,
Current Debt,640000.0,636000.0,627000.0,629000.0,636000.0,
Other Current Borrowings,640000.0,636000.0,627000.0,629000.0,636000.0,
Pensionand Other Post Retirement Benefit Plans Current,871000.0,1203000.0,774000.0,792000.0,640000.0,
Payables And Accrued Expenses,9675000.0,8640000.0,6893000.0,6558000.0,7353000.0,
Current Accrued Expenses,1900000.0,831000.0,1182000.0,874000.0,745000.0,
Payables,7775000.0,7809000.0,5711000.0,5684000.0,6608000.0,
Total Tax Payable,831000.0,473000.0,235000.0,0.0,168000.0,
Income Tax Payable,831000.0,473000.0,235000.0,0.0,168000.0,
Accounts Payable,6944000.0,7336000.0,5476000.0,5684000.0,6440000.0,
Total Assets,64853000.0,61348000.0,57654000.0,55717000.0,56499000.0,
Total Non Current Assets,29163000.0,28023000.0,27761000.0,27242000.0,25919000.0,
Other Non Current Assets,337000.0,343000.0,349000.0,356000.0,243000.0,
Non Current Deferred Assets,,,,,,0.0
Net PPE,28826000.0,27680000.0,27412000.0,26886000.0,25676000.0,
Accumulated Depreciation,,-19287000.0,,,,-17060000.0
Gross PPE,,46967000.0,,,,42184000.0
Other Properties,,11645000.0,,,,10264000.0
Machinery Furniture Equipment,,16240000.0,,,,15139000.0
Buildings And Improvements,,10503000.0,,,,9536000.0
Land And Improvements,,8579000.0,,,,7245000.0
Properties,,0.0,,,,0.0
Current Assets,35690000.0,33325000.0,29893000.0,28475000.0,30580000.0,
Other Current Assets,,,,,776000.0,706000.0
Prepaid Assets,1246000.0,1266000.0,1274000.0,1212000.0,776000.0,
Inventory,6951000.0,5150000.0,4208000.0,4752000.0,4991000.0,
Finished Goods,4012000.0,2821000.0,2243000.0,2356000.0,2286000.0,
Raw Materials,2939000.0,2329000.0,1965000.0,2396000.0,2705000.0,
Receivables,20692000.0,17734000.0,18562000.0,17784000.0,20877000.0,
Other Receivables,,,,,2534000.0,990000.0
Taxes Receivable,,0.0,476000.0,577000.0,476000.0,477000.0
Accounts Receivable,20692000.0,17734000.0,18086000.0,17207000.0,20401000.0,
Allowance For Doubtful Accounts Receivable,-953000.0,-806000.0,-792000.0,-912000.0,-937000.0,
Gross Accounts Receivable,21645000.0,18540000.0,18878000.0,18119000.0,21338000.0,
Cash Cash Equivalents And Short Term Investments,6801000.0,9175000.0,5849000.0,4727000.0,3936000.0,
Cash And Cash Equivalents,6801000.0,9175000.0,5849000.0,4727000.0,3936000.0,
Cash Financial,6801000.0,9175000.0,5849000.0,4727000.0,3936000.0,
