ticker,ticker-full,short-name,sector,industry,6-10--2025
IDT,IDT US Equity,IDT CORP-CLASS B,Communication Services,Diversified Telecommunication Services,64.86
CCOI,CCOI US Equity,COGENT COMMUNICA,Communication Services,Diversified Telecommunication Services,48.63
VZ,VZ US Equity,VERIZON COMMUNIC,Communication Services,Diversified Telecommunication Services,44.13
FYBR,FYBR US Equity,FRONTIER COMMUNI,Communication Services,Diversified Telecommunication Services,36.23
ASTS,ASTS US Equity,AST SPACEMOBILE,Communication Services,Diversified Telecommunication Services,35.71
IRDM,IRDM US Equity,IRIDIUM COMMUNIC,Communication Services,Diversified Telecommunication Services,28.94
T,T US Equity,AT&T INC,Communication Services,Diversified Telecommunication Services,28.42
ATEX,ATEX US Equity,ANTERIX INC,Communication Services,Diversified Telecommunication Services,28.38
GSAT,GSAT US Equity,GLOBALSTAR INC,Communication Services,Diversified Telecommunication Services,21.8
ATNI,ATNI US Equity,ATN INTERNATIONA,Communication Services,Diversified Telecommunication Services,16.17
BAND,BAND US Equity,BANDWIDTH INC-A,Communication Services,Diversified Telecommunication Services,15.16
SHEN,SHEN US Equity,SHENANDOAH TELEC,Communication Services,Diversified Telecommunication Services,13.84
IQST,IQST US Equity,IQSTEL INC,Communication Services,Diversified Telecommunication Services,11.76
LILAK,LILAK US Equity,LIBERTY LATI-C,Communication Services,Diversified Telecommunication Services,5.39
LILA,LILA US Equity,LIBERTY LATI-A,Communication Services,Diversified Telecommunication Services,5.26
LUMN,LUMN US Equity,LUMEN TECHNOLOGI,Communication Services,Diversified Telecommunication Services,4.33
NXPL,NXPL US Equity,NEXTPLAT CORP,Communication Services,Diversified Telecommunication Services,0.7
MSGS,MSGS US Equity,MADISON SQUARE G,Communication Services,Entertainment,192.2700043
TKO,TKO US Equity,TKO GROUP HOLDIN,Communication Services,Entertainment,164.6000061
LYV,LYV US Equity,LIVE NATION ENTE,Communication Services,Entertainment,143.7100067
LLYVK,LLYVK US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment,75.98000336
LLYVA,LLYVA US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment,74.84999847
BATRA,BATRA US Equity,ATLANTA BRAVES H,Communication Services,Entertainment,45.18000031
BATRK,BATRK US Equity,ATLANTA BRAVES H,Communication Services,Entertainment,42.79000092
MSGE,MSGE US Equity,MADISON SQUARE G,Communication Services,Entertainment,37.70000076
CNK,CNK US Equity,CINEMARK HOLDING,Communication Services,Entertainment,31.5
MCS,MCS US Equity,MARCUS CORP,Communication Services,Entertainment,17.52000046
RDIB,RDIB US Equity,READING INTL-B,Communication Services,Entertainment,10.32999992
AMC,AMC US Equity,AMC ENTERTAINMEN,Communication Services,Entertainment,3.339999914
RDI,RDI US Equity,READING INTL-A,Communication Services,Entertainment,1.440000057
TRUG,TRUG US Equity,TRUGOLF HOLDIN-A,Communication Services,Entertainment,0.234999999
NFLX,NFLX US Equity,NETFLIX INC,Communication Services,Entertainment,1203.62
TTWO,TTWO US Equity,TAKE-TWO INTERAC,Communication Services,Entertainment,234.91
EA,EA US Equity,ELECTRONIC ARTS,Communication Services,Entertainment,147.16
DIS,DIS US Equity,WALT DISNEY CO/T,Communication Services,Entertainment,118.73
FWONK,FWONK US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment,97.76
RBLX,RBLX US Equity,ROBLOX CORP - A,Communication Services,Entertainment,93.72
FWONA,FWONA US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment,88.58
ROKU,ROKU US Equity,ROKU INC,Communication Services,Entertainment,79.91
SPHR,SPHR US Equity,SPHERE ENTERTAIN,Communication Services,Entertainment,39.12
WMG,WMG US Equity,WARNER MUSIC-A,Communication Services,Entertainment,26.7
STRZ,STRZ US Equity,STARZ ENTERTAINM,Communication Services,Entertainment,18.96
WBD,WBD US Equity,WARNER BROS DISC,Communication Services,Entertainment,10.01
RSVR,RSVR US Equity,RESERVOIR MEDIA,Communication Services,Entertainment,7.3
SKLZ,SKLZ US Equity,SKILLZ INC,Communication Services,Entertainment,6.2
CURI,CURI US Equity,CURIOSITYSTREAM,Communication Services,Entertainment,5.14
GAIA,GAIA US Equity,GAIA INC,Communication Services,Entertainment,4.98
CNVS,CNVS US Equity,CINEVERSE CORP,Communication Services,Entertainment,3.7
