ticker_id,ticker,ticker-full,short-name,sector,industry
1,ASTS,ASTS US Equity,AST SPACEMOBILE,Communication Services,Diversified Telecommunication Services
2,ATEX,ATEX US Equity,ANTERIX INC,Communication Services,Diversified Telecommunication Services
3,ATNI,ATNI US Equity,ATN INTERNATIONA,Communication Services,Diversified Telecommunication Services
4,BAND,BAND US Equity,BANDWIDTH INC-A,Communication Services,Diversified Telecommunication Services
5,CCOI,CCOI US Equity,COGENT COMMUNICA,Communication Services,Diversified Telecommunication Services
6,FYBR,FYBR US Equity,FRONTIER COMMUNI,Communication Services,Diversified Telecommunication Services
7,GSAT,GSAT US Equity,GLOBALSTAR INC,Communication Services,Diversified Telecommunication Services
8,IDT,IDT US Equity,IDT CORP-CLASS B,Communication Services,Diversified Telecommunication Services
9,IQST,IQST US Equity,IQSTEL INC,Communication Services,Diversified Telecommunication Services
10,IRDM,IRDM US Equity,IRIDIUM COMMUNIC,Communication Services,Diversified Telecommunication Services
11,LILA,LILA US Equity,LIBERTY LATI-A,Communication Services,Diversified Telecommunication Services
12,LILAK,LILAK US Equity,LIBERTY LATI-C,Communication Services,Diversified Telecommunication Services
13,LUMN,LUMN US Equity,LUMEN TECHNOLOGI,Communication Services,Diversified Telecommunication Services
14,NXPL,NXPL US Equity,NEXTPLAT CORP,Communication Services,Diversified Telecommunication Services
15,SHEN,SHEN US Equity,SHENANDOAH TELEC,Communication Services,Diversified Telecommunication Services
16,T,T US Equity,AT&T INC,Communication Services,Diversified Telecommunication Services
17,VZ,VZ US Equity,VERIZON COMMUNIC,Communication Services,Diversified Telecommunication Services
18,AMC,AMC US Equity,AMC ENTERTAINMEN,Communication Services,Entertainment
19,BATRA,BATRA US Equity,ATLANTA BRAVES H,Communication Services,Entertainment
20,BATRK,BATRK US Equity,ATLANTA BRAVES H,Communication Services,Entertainment
21,BLMZ,BLMZ US Equity,BLOOMZ INC,Communication Services,Entertainment
22,CNK,CNK US Equity,CINEMARK HOLDING,Communication Services,Entertainment
23,CNVS,CNVS US Equity,CINEVERSE CORP,Communication Services,Entertainment
24,CURI,CURI US Equity,CURIOSITYSTREAM,Communication Services,Entertainment
25,DIS,DIS US Equity,WALT DISNEY CO/T,Communication Services,Entertainment
26,DLPN,DLPN US Equity,DOLPHIN ENTERTAI,Communication Services,Entertainment
27,EA,EA US Equity,ELECTRONIC ARTS,Communication Services,Entertainment
28,EB,EB US Equity,EVENTBRITE INC-A,Communication Services,Entertainment
29,FWONA,FWONA US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment
30,FWONK,FWONK US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment
31,GAIA,GAIA US Equity,GAIA INC,Communication Services,Entertainment
32,GMGI,GMGI US Equity,GOLDEN MATRIX GR,Communication Services,Entertainment
33,GXAI,GXAI US Equity,GAXOS.AI INC,Communication Services,Entertainment
34,LLYVA,LLYVA US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment
35,LLYVK,LLYVK US Equity,LIBERTY MEDIA CO,Communication Services,Entertainment
36,LVO,LVO US Equity,LIVEONE INC,Communication Services,Entertainment
37,LYV,LYV US Equity,LIVE NATION ENTE,Communication Services,Entertainment
38,MCS,MCS US Equity,MARCUS CORP,Communication Services,Entertainment
39,MITQ,MITQ US Equity,MOVING IMAGE TEC,Communication Services,Entertainment
40,MSGE,MSGE US Equity,MADISON SQUARE G,Communication Services,Entertainment
41,MSGM,MSGM US Equity,MOTORSPORT GAM-A,Communication Services,Entertainment
42,MSGS,MSGS US Equity,MADISON SQUARE G,Communication Services,Entertainment
43,MYPS,MYPS US Equity,PLAYSTUDIOS INC,Communication Services,Entertainment
44,NFLX,NFLX US Equity,NETFLIX INC,Communication Services,Entertainment
45,PODC,PODC US Equity,PODCASTONE INC,Communication Services,Entertainment
46,RBLX,RBLX US Equity,ROBLOX CORP - A,Communication Services,Entertainment
47,RDI,RDI US Equity,READING INTL-A,Communication Services,Entertainment
48,RDIB,RDIB US Equity,READING INTL-B,Communication Services,Entertainment
49,ROKU,ROKU US Equity,ROKU INC,Communication Services,Entertainment
50,RSVR,RSVR US Equity,RESERVOIR MEDIA,Communication Services,Entertainment
51,SEAT,SEAT US Equity,VIVID SEATS IN-A,Communication Services,Entertainment
52,SKLZ,SKLZ US Equity,SKILLZ INC,Communication Services,Entertainment
53,SNAL,SNAL US Equity,SNAIL INC - CL A,Communication Services,Entertainment
54,SPHR,SPHR US Equity,SPHERE ENTERTAIN,Communication Services,Entertainment
55,STRZ,STRZ US Equity,STARZ ENTERTAINM,Communication Services,Entertainment
56,TBH,TBH US Equity,BRAG HOUSE HOLDI,Communication Services,Entertainment
57,TKO,TKO US Equity,TKO GROUP HOLDIN,Communication Services,Entertainment
58,TOON,TOON US Equity,KARTOON STUDIOS,Communication Services,Entertainment
59,TRUG,TRUG US Equity,TRUGOLF HOLDIN-A,Communication Services,Entertainment
60,TTWO,TTWO US Equity,TAKE-TWO INTERAC,Communication Services,Entertainment
61,WBD,WBD US Equity,WARNER BROS DISC,Communication Services,Entertainment
62,WMG,WMG US Equity,WARNER MUSIC-A,Communication Services,Entertainment
63,ANGI,ANGI US Equity,ANGI INC,Communication Services,Interactive Media & Services
64,AREN,AREN US Equity,ARENA GROUP HOLD,Communication Services,Interactive Media & Services
65,BMBL,BMBL US Equity,BUMBLE INC-A,Communication Services,Interactive Media & Services
66,BZFD,BZFD US Equity,BUZZFEED INC,Communication Services,Interactive Media & Services
67,CARG,CARG US Equity,CARGURUS INC,Communication Services,Interactive Media & Services
68,CARS,CARS US Equity,CARS.COM INC,Communication Services,Interactive Media & Services
69,DHX,DHX US Equity,DHI GROUP INC,Communication Services,Interactive Media & Services
70,DJT,DJT US Equity,TRUMP MEDIA & TE,Communication Services,Interactive Media & Services
71,EVER,EVER US Equity,EVERQUOTE INC-A,Communication Services,Interactive Media & Services
72,FUBO,FUBO US Equity,FUBOTV INC,Communication Services,Interactive Media & Services
73,GETY,GETY US Equity,GETTY IMAGES HOL,Communication Services,Interactive Media & Services
74,GIFT,GIFT US Equity,GIFTIFY INC,Communication Services,Interactive Media & Services
75,GOOG,GOOG US Equity,ALPHABET INC-C,Communication Services,Interactive Media & Services
76,GOOGL,GOOGL US Equity,ALPHABET INC-A,Communication Services,Interactive Media & Services
77,GRND,GRND US Equity,GRINDR INC,Communication Services,Interactive Media & Services
78,GTM,GTM US Equity,ZOOMINFO TECH,Communication Services,Interactive Media & Services
79,HWH,HWH US Equity,HWH INTERNATIONA,Communication Services,Interactive Media & Services
80,IAC,IAC US Equity,IAC INC,Communication Services,Interactive Media & Services
81,IPM,IPM US Equity,INTELLIGENT PROT,Communication Services,Interactive Media & Services
82,IZEA,IZEA US Equity,IZEA WORLDWIDE I,Communication Services,Interactive Media & Services
83,KIND,KIND US Equity,NEXTDOOR HOLDING,Communication Services,Interactive Media & Services
84,MAX,MAX US Equity,MEDIAALPHA INC-A,Communication Services,Interactive Media & Services
85,META,META US Equity,META PLATFORMS-A,Communication Services,Interactive Media & Services
86,MTCH,MTCH US Equity,MATCH GROUP INC,Communication Services,Interactive Media & Services
87,PINS,PINS US Equity,PINTEREST INC -A,Communication Services,Interactive Media & Services
88,PSQH,PSQH US Equity,PSQ HOLDINGS INC,Communication Services,Interactive Media & Services
89,QNST,QNST US Equity,QUINSTREET INC,Communication Services,Interactive Media & Services
90,RDDT,RDDT US Equity,REDDIT INC-A,Communication Services,Interactive Media & Services
91,RUM,RUM US Equity,RUMBLE INC,Communication Services,Interactive Media & Services
92,SLE,SLE US Equity,SUPER LEAGUE ENT,Communication Services,Interactive Media & Services
93,SNAP,SNAP US Equity,SNAP INC - A,Communication Services,Interactive Media & Services
94,SOPA,SOPA US Equity,SOCIETY PASS INC,Communication Services,Interactive Media & Services
95,SST,SST US Equity,SYSTEM1 INC,Communication Services,Interactive Media & Services
96,SSTK,SSTK US Equity,SHUTTERSTOCK INC,Communication Services,Interactive Media & Services
97,TEAD,TEAD US Equity,TEADS HOLDING CO,Communication Services,Interactive Media & Services
98,TRIP,TRIP US Equity,TRIPADVISOR INC,Communication Services,Interactive Media & Services
99,TZOO,TZOO US Equity,TRAVELZOO,Communication Services,Interactive Media & Services
100,VMEO,VMEO US Equity,VIMEO INC,Communication Services,Interactive Media & Services
101,WBTN,WBTN US Equity,WEBTOON ENTERTAI,Communication Services,Interactive Media & Services
102,YELP,YELP US Equity,YELP INC,Communication Services,Interactive Media & Services
103,ZD,ZD US Equity,ZIFF DAVIS INC,Communication Services,Interactive Media & Services
104,ZDGE,ZDGE US Equity,ZEDGE INC-B,Communication Services,Interactive Media & Services
105,ZIP,ZIP US Equity,ZIPRECRUITER INC,Communication Services,Interactive Media & Services
106,TRUE,TRUE US Equity,TRUECAR INC,Communication Services,Interactive Media & Services
107,ADV,ADV US Equity,ADVANTAGE SOLUTI,Communication Services,Media
108,AMCX,AMCX US Equity,AMC NETWORKS-A,Communication Services,Media
109,ASST,ASST US Equity,ASSET ENTITIES-B,Communication Services,Media
110,ATUS,ATUS US Equity,ALTICE USA INC-A,Communication Services,Media
111,BBGI,BBGI US Equity,BEASLEY BROAD -A,Communication Services,Media
112,BOC,BOC US Equity,BOSTON OMAHA -A,Communication Services,Media
113,CABO,CABO US Equity,CABLE ONE INC,Communication Services,Media
114,CCO,CCO US Equity,CLEAR CHANNEL OU,Communication Services,Media
115,CDLX,CDLX US Equity,CARDLYTICS INC,Communication Services,Media
116,CHTR,CHTR US Equity,CHARTER COMMUN-A,Communication Services,Media
117,CMCSA,CMCSA US Equity,COMCAST CORP-A,Communication Services,Media
118,CREX,CREX US Equity,CREATIVE REALITI,Communication Services,Media
119,DALN,DALN US Equity,DALLASNEWS CORP,Communication Services,Media
120,DRCT,DRCT US Equity,DIRECT DIGITAL-A,Communication Services,Media
121,DV,DV US Equity,DOUBLEVERIFY HOL,Communication Services,Media
122,EEX,EEX US Equity,EMERALD HOLDING,Communication Services,Media
123,EVC,EVC US Equity,ENTRAVISION CO-A,Communication Services,Media
124,FLNT,FLNT US Equity,FLUENT INC,Communication Services,Media
125,FOX,FOX US Equity,FOX CORP - B,Communication Services,Media
126,FOXA,FOXA US Equity,FOX CORP - A,Communication Services,Media
127,GCI,GCI US Equity,GANNETT CO INC,Communication Services,Media
128,GTN,GTN US Equity,GRAY MEDIA INC,Communication Services,Media
129,GTN/A,GTN/A US Equity,GRAY MEDIA INC-A,Communication Services,Media
130,HHS,HHS US Equity,HARTE-HANKS INC,Communication Services,Media
131,IAS,IAS US Equity,INTEGRAL AD SCIE,Communication Services,Media
132,IBTA,IBTA US Equity,IBOTTA INC-CL A,Communication Services,Media
133,IHRT,IHRT US Equity,IHEARTMEDIA-CL A,Communication Services,Media
134,IPG,IPG US Equity,INTERPUBLIC GRP,Communication Services,Media
135,LBRDA,LBRDA US Equity,LIBERTY BR-A,Communication Services,Media
136,LBRDK,LBRDK US Equity,LIBERTY BR-C,Communication Services,Media
137,LEE,LEE US Equity,LEE ENTERPRISES,Communication Services,Media
138,MCHX,MCHX US Equity,MARCHEX INC-B,Communication Services,Media
139,MGNI,MGNI US Equity,MAGNITE INC,Communication Services,Media
140,MNTN,MNTN US Equity,MNTN INC-A,Communication Services,Media
141,NCMI,NCMI US Equity,NATIONAL CINEMED,Communication Services,Media
142,NMAX,NMAX US Equity,NEWSMAX INC,Communication Services,Media
143,NWS,NWS US Equity,NEWS CORP-CL B,Communication Services,Media
144,NWSA,NWSA US Equity,NEWS CORP-CL A,Communication Services,Media
145,NXST,NXST US Equity,NEXSTAR MEDIA,Communication Services,Media
146,NYT,NYT US Equity,NEW YORK TIMES-A,Communication Services,Media
147,OMC,OMC US Equity,OMNICOM GROUP,Communication Services,Media
148,PARA,PARA US Equity,PARAMOUNT GLOB-B,Communication Services,Media
149,PARAA,PARAA US Equity,PARAMOUNT GLOB-A,Communication Services,Media
150,PUBM,PUBM US Equity,PUBMATIC INC-A,Communication Services,Media
151,SATS,SATS US Equity,ECHOSTAR CORP-A,Communication Services,Media
152,SBGI,SBGI US Equity,SINCLAIR INC,Communication Services,Media
153,SCHL,SCHL US Equity,SCHOLASTIC CORP,Communication Services,Media
154,SCOR,SCOR US Equity,COMSCORE INC,Communication Services,Media
155,SGA,SGA US Equity,SAGA COMM-CL A,Communication Services,Media
156,SGRP,SGRP US Equity,SPAR GROUP INC,Communication Services,Media
157,SIRI,SIRI US Equity,SIRIUS XM HOLDIN,Communication Services,Media
158,SSP,SSP US Equity,EW SCRIPPS-A,Communication Services,Media
159,STGW,STGW US Equity,STAGWELL INC,Communication Services,Media
160,SWAG,SWAG US Equity,STRAN & CO INC,Communication Services,Media
161,TGL,TGL US Equity,TREASURE GLOBAL,Communication Services,Media
162,TGNA,TGNA US Equity,TEGNA INC,Communication Services,Media
163,THRY,THRY US Equity,THRYV HOLDINGS I,Communication Services,Media
164,TSQ,TSQ US Equity,TOWNSQUARE MED-A,Communication Services,Media
165,TTD,TTD US Equity,TRADE DESK INC-A,Communication Services,Media
166,TTGT,TTGT US Equity,TECHTARGET INC,Communication Services,Media
167,UONE,UONE US Equity,URBAN ONE INC,Communication Services,Media
168,UONEK,UONEK US Equity,URBAN ONE INC,Communication Services,Media
169,WLY,WLY US Equity,WILEY JOHN&SON-A,Communication Services,Media
170,WLYB,WLYB US Equity,WILEY JOHN&SON-B,Communication Services,Media
171,WOW,WOW US Equity,WIDEOPENWEST INC,Communication Services,Media
172,XHLD,XHLD US Equity,TEN HOLDINGS INC,Communication Services,Media
173,YHC,YHC US Equity,LQR HOUSE INC,Communication Services,Media
174,GOGO,GOGO US Equity,GOGO INC,Communication Services,Wireless Telecommunication Services
175,KORE,KORE US Equity,KORE GROUP HOLDI,Communication Services,Wireless Telecommunication Services
176,SPOK,SPOK US Equity,SPOK HOLDINGS IN,Communication Services,Wireless Telecommunication Services
177,TDS,TDS US Equity,TELEPHONE & DATA,Communication Services,Wireless Telecommunication Services
178,TMUS,TMUS US Equity,T-MOBILE US INC,Communication Services,Wireless Telecommunication Services
179,USM,USM US Equity,US CELLULAR CORP,Communication Services,Wireless Telecommunication Services
180,ADNT,ADNT US Equity,ADIENT PLC,Consumer Discretionary,Automobile Components
181,AXL,AXL US Equity,AMER AXLE & MFG,Consumer Discretionary,Automobile Components
182,BWA,BWA US Equity,BORGWARNER INC,Consumer Discretionary,Automobile Components
183,CPS,CPS US Equity,COOPER-STANDARD,Consumer Discretionary,Automobile Components
